candidate_id,included,reviewed_event_type,reviewed_fiscal_quarter,reviewed_release_timing,reviewed_expected_pattern,headline,field_corrections,review_notes,reviewed_source_url
C11,TRUE,earnings,FY23Q3,amc,aligned,NVIDIA reports FY23 Q3 results,"fiscal_quarter: FY23 Q3 -> FY23Q3; expected_pattern: divergent -> aligned; why_selected: Weak reported quarter during the gaming downturn but the stock rose on cycle expectations; the reverse divergence, needed for balance -> Adjusted EPS miss and reported next-session decline; conventional miss/down comparison, distinct from the initial after-hours rise.",Change divergent to aligned: the next regular session declined after an EPS miss. The initial after-hours rise is a different window. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-third-quarter-fiscal-2023
C12,TRUE,macro,,intraday,macro,US publishes advanced-chip export-control rule for public inspection,release_timing: amc -> intraday; source_url: https://www.bis.gov/press-release/commerce-implements-new-export-controls-advanced-computing-semiconductor-manufacturing-items-peoples -> https://www.govinfo.gov/content/pkg/FR-2022-10-13/pdf/2022-21658.pdf; verified: FALSE -> TRUE,"Change amc to intraday and verified to TRUE using public inspection of the actual rule at 11:15 AM EDT on October 7, not a guessed BIS press-page timestamp. P1 final review 2026-09-05: analysis_scope=macro_price. Final human-review hardening: timing evidence is https://www.federalregister.gov/public-inspection/2022/10/07 (FR 2022-21658 filed October 7 at 11:15 AM Eastern); not the October 11 list. GovInfo remains the underlying rule source.",https://www.govinfo.gov/content/pkg/FR-2022-10-13/pdf/2022-21658.pdf
C13,TRUE,macro,,intraday,macro,Federal Reserve raises target rate by 75 basis points,No existing field value changed., P1 final review 2026-09-05: analysis_scope=macro_price.,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220921a.htm
C14,FALSE,acquisition,,bmo,divergent,AMD announces $35 billion Xilinx acquisition,event_type: product -> acquisition; source_url: https://www.amd.com/en/newsroom/press-releases/2020-10-27-amd-to-acquire-xilinx-creating-the-industry-s-hig.html -> https://ir.amd.com/news-events/press-releases/detail/977/amd-to-acquire-xilinx-creating-the-industrys-high-performance-computing-leader,Change product to acquisition; use AMD investor-relations acquisition release instead of the redirecting newsroom URL. Acquisition concurrent with earnings; not a product launch or EPS-divergence case. Exclude to limit confounding and sample size.,https://ir.amd.com/news-events/press-releases/detail/977/amd-to-acquire-xilinx-creating-the-industrys-high-performance-computing-leader
C15,FALSE,guidance,FY23Q3,amc,divergent,AMD reports Q3 results and discusses MI300 outlook,fiscal_quarter: FY23 Q3 -> FY23Q3, Guidance-focused event overlaps other AI outlook cases; a positive next-session reaction does not establish EPS/price divergence.,https://www.amd.com/en/newsroom/press-releases/2023-10-31-amd-reports-third-quarter-2023-financial-results.html
C16,TRUE,earnings,FY22Q2,amc,divergent,AMD reports Q2 results and issues Q3 outlook,fiscal_quarter: FY22 Q2 -> FY22Q2; expected_pattern: aligned -> divergent; why_selected: PC demand collapse showed up in results and guidance together -> Adjusted EPS beat accompanied by softer forward expectations and a reported next-session decline; test mechanical divergence separately from the outlook explanation.; source_url: https://www.amd.com/en/newsroom/press-releases/2022-8-2-amd-reports-second-quarter-2022-financial-results-.html -> https://ir.amd.com/news-events/press-releases/detail/1084/amd-reports-second-quarter-2022-financial-results,"Change aligned to divergent hypothesis: adjusted EPS beat, while the next session declined. Replace the claim of simultaneous results collapse; client revenue still grew year over year. P1 final review 2026-09-05: analysis_scope=eps_and_price.",https://ir.amd.com/news-events/press-releases/detail/1084/amd-reports-second-quarter-2022-financial-results
C17,FALSE,guidance,FY22Q3,amc,aligned,Micron reports Q3 results and issues Q4 outlook,fiscal_quarter: FY22 Q3 -> FY22Q3, Redundant memory-downcycle guidance case; retain C07 for that context and use the slot for C27.,https://investors.micron.com/news/press-release/2022/Micron-Technology-Inc--Reports-Results-for-the-Third-Quarter-of-Fiscal-2022-06-30-2022/default.aspx
C18,TRUE,earnings,FY23Q4,amc,divergent,Micron reports FY23 Q4 loss and issues Q1 outlook,"fiscal_quarter: FY23 Q4 -> FY23Q4; why_selected: Reported losses during the trough while the stock had already turned; forward pricing case -> Adjusted loss was smaller than consensus, followed by a reported decline; forward guidance may explain the sign mismatch.",Use smaller-than-expected adjusted loss followed by decline as the hypothesis; weak forward guidance complicates interpretation. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://investors.micron.com/news/press-release/2023/Micron-Technology-Inc--Reports-Results-for-the-Fourth-Quarter-and-Full-Year-of-Fiscal-2023-09-27-2023/default.aspx
C19,TRUE,earnings,FY24Q3,bmo,aligned,TSMC reports Q3 results,fiscal_quarter: 2024 Q3 -> FY24Q3; why_selected: AI demand strength confirmed at the foundry level; useful as a supply chain read on the rest of the sector -> Foundry-level AI demand provides an aligned supply-chain comparison; confirm consensus basis before automatic EPS analysis.; P1 final review why_selected -> Foundry-level results and AI demand provide qualitative supply-chain context. Excluded from automatic EPS surprise/divergence because consensus accounting-basis reconciliation is unavailable.; estimates actual_eps_basis: ifrs -> tifrs; consensus_eps: 1.74 (Zacks) -> 1.79 (user-supplied FactSet/IBD); consensus sources and snapshot provenance updated,"Normalize 2024 Q3 to FY24Q3. TSM is the US ADR; EPS units are USD per ADR. Actual is IFRS; consensus basis remains unresolved. P1 final review 2026-09-05: analysis_scope=qualitative. sample_role: additional_aligned -> qualitative. Retained for qualitative analysis; not counted among the three EPS comparisons. Zacks methodology does not establish a quarter-specific reconciliation to TIFRS. TSM source supplement: actual basis=tifrs; actual and consensus units=usd_per_adr; consensus basis unverified; comparability_verified=FALSE. See data/tsm_research.csv for provisional values and source-access limitations. Supersedes selected Zacks snapshot, not a claim that Zacks 1.74 was incorrect. Remains qualitative/aligned. Supplied >11% move is not a validated closing return; closing Reuters recap reports +9.8%.",https://pr.tsmc.com/english/news/3180
C20,FALSE,earnings,FY22Q3,bmo,aligned,TSMC reports Q3 results,fiscal_quarter: 2022 Q3 -> FY22Q3; candidate and reviewed expected_pattern: divergent -> aligned (explicit user correction; original research reasoning preserved),Normalize 2022 Q3 to FY22Q3; do not carry the unsupported divergent label into production. Original geopolitical-divergence narrative is not supported by the positive US ADR next-session reaction; market-wide CPI reversal also confounds attribution. TSM source supplement: actual basis=tifrs; actual and consensus units=usd_per_adr; consensus basis unverified; comparability_verified=FALSE. See data/tsm_research.csv for provisional values and source-access limitations. Still excluded from production. Supplied 1.79 actual / 1.68 consensus and +6.55% indicative EPS difference; StatMuse closes 60.84 on October 12 and 63.22 on October 13 support positive direction. The supplied consensus was not independently visible in the accessible transcript.,https://pr.tsmc.com/english/news/2965
C21,FALSE,guidance,FY19Q4,amc,aligned,NVIDIA reports FY19 Q4 results,fiscal_quarter: FY19 Q4 -> FY19Q4,Separate the January guidance reduction from this February release; retain original research only. Original note conflates the January 28 outlook reduction with February 14 results. Exclude; C22 retains 2019 coverage.,https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-fourth-quarter-and-fiscal-2019
C22,TRUE,earnings,FY19Q2,amc,divergent,Intel reports Q2 results and raises full-year outlook,fiscal_quarter: FY19 Q2 -> FY19Q2; expected_pattern: aligned -> divergent; why_selected: Beat and raise in the pre AI era; a plain control case so the dataset is not only dramatic events -> Adjusted EPS beat and raised annual outlook followed by a reported next-session decline; concurrent modem-business sale complicates attribution.,Change aligned to divergent hypothesis: the next regular-session close declined despite adjusted EPS beating consensus; concurrent Apple modem-business sale is a confounder. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://www.sec.gov/Archives/edgar/data/50863/000005086319000022/q2-2019earningsrelease.htm
C23,TRUE,earnings,FY22Q3,amc,aligned,NVIDIA reports FY22 Q3 results,fiscal_quarter: FY22 Q3 -> FY22Q3; why_selected: Peak of the pandemic era demand cycle -> Conventional EPS beat and positive reaction provides 2021 coverage; aligned comparison rather than a low-volatility control.,"Conventional aligned comparison, but approximately 8% next-day gain is not a quiet or low-volatility control. P1 final review 2026-09-05: analysis_scope=eps_and_price.",https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-third-quarter-fiscal-2022
C24,FALSE,earnings,FY23Q4,amc,divergent,Broadcom reports Q4 results following VMware acquisition,fiscal_quarter: FY23 Q4 -> FY23Q4, Original divergence hypothesis is unsupported by the positive next-session close; VMware integration overlaps C06 context.,https://investors.broadcom.com/news-releases/news-release-details/broadcom-inc-announces-fourth-quarter-and-fiscal-year-2023
C25,TRUE,earnings,FY24Q4,bmo,aligned,TSMC reports Q4 results,fiscal_quarter: 2024 Q4 -> FY24Q4; why_selected: AI capex outlook set the tone for the sector early in the year -> Foundry results provide an aligned comparison; confirm IFRS-versus-adjusted consensus compatibility.; P1 final review why_selected -> Foundry-level results and AI demand provide qualitative supply-chain context. Excluded from automatic EPS surprise/divergence because consensus accounting-basis reconciliation is unavailable.; estimates actual_eps_basis: ifrs -> tifrs; consensus source: Zacks -> MarketBeat historical table; snapshot provenance updated,Normalize 2024 Q4 to FY24Q4 although announced in 2025. Actual is IFRS USD per ADR; consensus basis remains unresolved. P1 final review 2026-09-05: analysis_scope=qualitative. sample_role: comparison -> qualitative. Retained for qualitative analysis; not counted among the three EPS comparisons. Zacks methodology does not establish a quarter-specific reconciliation to TIFRS. TSM source supplement: actual basis=tifrs; actual and consensus units=usd_per_adr; consensus basis unverified; comparability_verified=FALSE. See data/tsm_research.csv for provisional values and source-access limitations. 2.24 actual / 2.16 consensus unchanged. MarketBeat confirms numeric pair but does not disclose consensus accounting basis. Supplied approximately +3.9% move lacks a dedicated price source and remains unverified.,https://pr.tsmc.com/english/news/3201
C26,TRUE,macro,,amc,macro,US announces reciprocal-tariff program,why_selected: Tariff and trade policy shock repriced the sector; second policy event to pair with C12 -> Broad reciprocal-tariff announcement provides policy context despite the order exempting semiconductors.,"Reciprocal tariffs were announced after the close. Semiconductors were exempted from this order; study broad trade-policy exposure, not a direct chip tariff. P1 final review 2026-09-05: analysis_scope=macro_price.",https://www.whitehouse.gov/presidential-actions/2025/04/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and-persistent-annual-united-states-goods-trade-deficits/
C27,TRUE,earnings,FY24Q3,amc,divergent,NVIDIA reports FY24 Q3 results,No existing field value changed.,New candidate added for the missing beat/down coverage; retain export-control context. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://investor.nvidia.com/news/press-release-details/2023/NVIDIA-Announces-Financial-Results-for-Third-Quarter-Fiscal-2024/default.aspx
C28,TRUE,earnings,FY24Q3,amc,divergent,Micron reports FY24 Q3 results,No existing field value changed.,New candidate added for the missing beat/down coverage; retain guidance context. P1 final review 2026-09-05: analysis_scope=eps_and_price.,https://investors.micron.com/news/press-release/2024/Micron-Technology-Inc--Reports-Results-for-the-Third-Quarter-of-Fiscal-2024-06-26-2024/default.aspx
